id,TT_kz,TT_ru,TT_en,SN_kz,SN_ru,SN_en,BT_kz,BT_ru,BT_en,NT_kz,NT_ru,NT_en,RT_kz,RT_ru,RT_en,UF_kz,UF_ru,UF_en,PT_kz,PT_ru,PT_en,LE_kz,LE_ru,LE_en
13,Бомбалау авиациясы,Бомбардировочная авиация,Bomber aviation,Бомбаларды тастау арқылы нысаналарды жоятын бөлім,Подразделение для нанесения ударов бомбами,Unit specialized in bomb strikes,Әуе күштері,Военно-воздушные силы,Air Force,Тактикалық авиация,Тактическая авиация,Tactical aviation,Әуе операциясы,Воздушная операция,Air operation,Бомбалаушы ұшақ,Бомбардировщик,Bomber aircraft,Әуе дивизиясы,Воздушная дивизия,Air division,Бомбалық авиация,Бомбовая авиация,Bombing air force
14,Тактикалық авиация,Тактическая авиация,Tactical aviation,Жердегі әскерді қолдау үшін қолданылатын авиация,Авиация для поддержки сухопутных войск,Aviation supporting ground forces,Әуе күштері,Военно-воздушные силы,Air Force,Шабуыл авиациясы,Штурмовая авиация,Assault aviation,Бомбалау авиациясы,Бомбардировочная авиация,Bomber aviation,Әуе қолдау,Воздушная поддержка,Air support,Әуе тобы,Воздушная группа,Air group,Тактикалық ұшақтар,Тактические самолёты,Tactical aircraft
15,Шабуыл авиациясы,Штурмовая авиация,Assault aviation,Жер үсті нысандарын дәл соғуға арналған авиация,Авиация для точечных ударов по наземным целям,Aviation for precision strikes on ground targets,Тактикалық авиация,Тактическая авиация,Tactical aviation,Ұшқышсыз ұрыс авиациясы,Беспилотная ударная авиация,Unmanned combat aviation,Әуе қолдау,Воздушная поддержка,Air support,Шабуыл ұшағы,Штурмовик,Attack aircraft,Әуе құрамасы,Воздушное соединение,Air unit,Шабуыл авиациясы,Ударная авиация,Strike aviation
16,Ұшқышсыз ұрыс авиациясы,Беспилотная ударная авиация,Unmanned combat aviation,Қашықтан басқарылатын ұрыс жүйелері,Боевые системы дистанционного управления,Remotely operated combat systems,Шабуыл авиациясы,Штурмовая авиация,Assault aviation,Ұшқышсыз аппарат,Беспилотник,Drone,Барлау аппараты,Разведывательный дрон,Recon drone,Ұшқышсыз жүйе,Беспилотная система,UAV system,Әуе тобы,Воздушная группа,Air group,Дрон авиациясы,Drone aviation,Drone aviation
17,Ұшқышсыз аппарат,Беспилотник,Drone,Қашықтан басқарылатын ұшу құрылғысы,Воздушное устройство без пилота,Unmanned aerial device,Ұшқышсыз ұрыс авиациясы,Беспилотная ударная авиация,Unmanned combat aviation,Барлау дроны,Разведывательный дрон,Recon drone,Ұшу жүйесі,Авиасистема,Flight system,Ұшатын құрылғы,Летательный аппарат,Flying device,Ұшу бөлімі,Отдел авиации,Aviation section,Дрон,Дрон,Drone
18,Барлау,Разведка,Reconnaissance,Қарсылас туралы ақпарат жинау әрекеті,Деятельность по сбору информации о противнике,The act of gathering information about the enemy,Әскери операция,Военная операция,Military operation,Барлау миссиясы,Разведывательная миссия,Recon mission,Барлау дроны,Разведывательный дрон,Recon drone,Барлау ісі,Разведдеятельность,Intelligence activity,Барлау бөлімшесі,Разведподразделение,Recon unit,Әскери барлау,Военная разведка,Military intelligence
19,Барлау миссиясы,Разведывательная миссия,Recon mission,Қарсылас аймағында ақпарат алу операциясы,Операция по сбору данных в районе противника,Operation to gather data in enemy territory,Барлау,Разведка,Reconnaissance,Әуе барлауы,Воздушная разведка,Air reconnaissance,Барлау дроны,Разведывательный дрон,Recon drone,Барлау тапсырмасы,Разведзадание,Recon assignment,Барлау бөлімі,Разведывательное подразделение,Recon division,Барлау операциясы,Разведоперация,Recon operation
20,Барлау дроны,Разведывательный дрон,Recon drone,Барлау деректерін жинауға арналған ұшу құрылғысы,Летающее устройство для разведки,Aircraft used for reconnaissance,Ұшқышсыз аппарат,Беспилотник,Drone,Микро-дрон,Мини-дрон,Microdrone,Барлау миссиясы,Разведмиссия,Recon mission,Барлау құрылғысы,Разведустройство,Recon device,Барлау жүйесі,Разведсистема,Recon system,Барлау ұшағы,Разведсамолёт,Recon aircraft
21,Командир,Командир,Commander,Бір бөлімшенің басшысы,Руководитель подразделения,Leader of a military unit,Әскери қызметші,Военнослужащий,Soldier,Батальон командирі,Командир батальона,Battalion commander,Офицер,Офицер,Officer,Басшы,Начальник,Chief,Бөлім басшысы,Руководитель отделения,Section leader,Бас қолбасшы,Главнокомандующий,General commander
23,Сарбаз,Солдат,Soldier,Әскер қатарындағы жауынгер,Военнослужащий рядового состава,Enlisted military serviceman,Әскери қызметші,Военнослужащий,Serviceman,Кіші сарбаз,Рядовой,Private,Офицер,Офицер,Officer,Жауынгер,Боец,Warrior,Әскер мүшесі,Член армии,Army member,Қатардағы жауынгер,Рядовой солдат,Rank-and-file soldier
25,Әскер,Армия,Army,Мемлекетті қорғауға арналған қарулы құрылым,Вооружённая организация для защиты государства,Armed organization for national defense,Қарулы күштер,Вооружённые силы,Armed Forces,Құрлық әскері,Сухопутные войска,Ground forces,Әскери бөлім,Воинская часть,Military unit,Қарулы топ,Вооружённое формирование,Armed group,Әскер құрылымы,Структура армии,Army structure,Мемлекеттік әскер,Государственная армия,National army
29,Танк ротасы,Танковая рота,Tank company,Танк бөлімдерінің ұйымдасқан әскери құрылымы,Организационная структура танковых подразделений,Organized tank unit structure,Механикаландырылған бөлім,Механизированное подразделение,Mechanized unit,Танк батальоны,Танковый батальон,Tank battalion,Бронетехника,Бронетехника,Armored vehicles,Танк тобы,Танковая группа,Tank group,Танк бөлімшесі,Танковое подразделение,Tank subunit,Танк әскері,Танковые войска,Tank troops
31,Танк полкі,Танковый полк,Tank regiment,Танк батальондарынан құралған ірі бөлім,Крупное соединение из танковых батальонов,Large formation of tank battalions,Танк батальоны,Танковый батальон,Tank battalion,Танк дивизиясы,Танковая дивизия,Tank division,Құрлық әскері,Сухопутные войска,Ground forces,Полк,Полк,Regiment,Әскери полк,Военный полк,Military regiment,Танк күштері,Танковые силы,Tank forces
32,Танк дивизиясы,Танковая дивизия,Tank division,Танк полктерінен құралған ірі әскери құрам,Крупное соединение из танковых полков,Large formation of tank regiments,Танк полкі,Танковый полк,Tank regiment,Танк корпусы,Танковый корпус,Tank corps,Құрлық әскері,Сухопутные войска,Ground forces,Механикаланған дивизия,Механизированная дивизия,Mechanized division,Дивизия,Дивизия,Division,Танк армиясы,Танковая армия,Tank army
33,Танк армиясы,Танковая армия,Tank army,Бірнеше дивизиядан құралған үлкен құрылым,Крупное соединение из нескольких дивизий,Large formation composed of several divisions,Танк дивизиясы,Танковая дивизия,Tank division,Құрлық армиясы,Сухопутная армия,Ground army,Әскер,Армия,Army,Броньды армия,Бронированная армия,Armored army,Армия,Армия,Army,Танк күштері,Танковые силы,Tank forces
34,Құрлық армиясы,Сухопутная армия,Ground army,Құрлықтағы барлық әскер түрлерін біріктіретін құрылым,Объединение всех видов сухопутных войск,Organization uniting all ground forces,Құрлық әскері,Сухопутные войска,Ground forces,Танк армиясы,Танковая армия,Tank army,Әскери бөлім,Воинская часть,Military unit,Құрлық күштері,Сухопутные силы,Ground power,Әскер тобы,Группировка войск,Troop group,Құрлықтық армия,Наземная армия,Land army
35,Медициналық қамтамасыз ету,Медицинское обеспечение,Medical support,Жаралыларға көмек көрсету және санитарлық қызмет ұйымдастыру,Организация помощи раненым и санитарной службы,Organization of aid and sanitation,Тылдық қамтамасыз ету,Тыловое обеспечение,Logistics support,Дала госпиталі,Полевой госпиталь,Field hospital,Әскери дәрігер,Военный врач,Military doctor,Медицина қызметі,Медслужба,Medical service,Медициналық бөлім,Медицинское подразделение,Medical unit,Медициналық қызмет,Медслужба,Medical care
36,Дала госпиталі,Полевой госпиталь,Field hospital,Соғыс аймағында орналасқан уақытша госпиталь,Временный госпиталь в зоне боевых действий,Temporary hospital in combat zone,Медициналық қамтамасыз ету,Медицинское обеспечение,Medical support,Мобильді госпиталь,Мобильный госпиталь,Mobile hospital,Медициналық бөлім,Медицинское подразделение,Medical unit,Уақытша госпиталь,Временный госпиталь,Temporary hospital,Медициналық лагерь,Медицинский лагерь,Medical camp,Әскери госпиталь,Военный госпиталь,Military hospital
37,Моральдық дайындық,Моральная подготовка,Moral training,Жауынгерлердің рухын көтеру шаралары,Меры по повышению боевого духа солдат,Measures to improve morale,Жауынгерлік дайындық,Боевая подготовка,Combat training,Психологиялық дайындық,Психологическая подготовка,Psychological training,Әскери тәрбие,Военное воспитание,Military discipline,Моральдық рух,Боевой дух,Morale,Рухани дайындық,Духовная подготовка,Spiritual preparation,Моральдық тұрақтылық,Моральная устойчивость,Moral stability
38,Психологиялық дайындық,Психологическая подготовка,Psychological training,Жауынгердің психологиялық төзімділігін арттыру,Укрепление психологической устойчивости бойца,Improving soldier’s psychological resilience,Моральдық дайындық,Моральная подготовка,Moral training,Стресске қарсы жаттығу,Антистрессовая тренировка,Stress training,Тәртіптік дайындық,Дисциплинарная подготовка,Disciplinary training,Психологиялық оқыту,Психологическое обучение,Psychological education,Психологиялық тұрақтылық,Психологическая устойчивость,Psychological stability,,,
39,Әскери тәртіп,Военная дисциплина,Military discipline,Жауынгерлердің мінез-құлық нормалары мен ережелері,Нормы и правила поведения военнослужащих,Rules and norms of soldiers’ behavior,Жауынгерлік дайындық,Боевая подготовка,Combat training,Қызметтік тәртіп,Служебная дисциплина,Service discipline,Моральдық дайындық,Моральная подготовка,Moral training,Тәртіп,Дисциплина,Discipline,Тәртіп кодексі,Кодекс дисциплины,Discipline code,Әскери ереже,Воинский устав,Military regulation
42,Байланыс торабы,Узел связи,Communication node,Ақпарат алмасу желісінің негізгі бөлігі,Основная часть сети связи,Main part of communication network,Байланыс,Связь,Communication,Байланыс бекеті,Пункт связи,Communication point,Басқару пункті,Пункт управления,Command post,Байланыс орталығы,Центр связи,Communication center,Байланыс станциясы,Станция связи,Communication station,Телекоммуникация,Телекоммуникация,Telecommunication
43,Радиобайланыс,Радиосвязь,Radio communication,Толқындар арқылы ақпарат жіберу тәсілі,Способ передачи информации с помощью волн,Method of information transfer via waves,Байланыс,Связь,Communication,Қысқа толқынды байланыс,Коротковолновая связь,Shortwave communication,Байланыс торабы,Узел связи,Communication node,Радиоарна,Радиоканал,Radio channel,Радиожелі,Радиосеть,Radio network,Радио жүйесі,Радиосистема,Radio system
44,Қысқа толқынды байланыс,Коротковолновая связь,Shortwave communication,Ұзақ қашықтыққа радиосигнал жіберу жүйесі,Система передачи радиосигналов на дальние расстояния,System of long-distance radio communication,Радиобайланыс,Радиосвязь,Radio communication,Теңіз радиосы,Морская радиосвязь,Marine radio,Байланыс торабы,Узел связи,Communication node,Ұзақ толқын,Длинная волна,Long wave,Радио,Радио,Radio,Байланыс жүйесі,Система связи,Communication system
46,Инженерлік қамтамасыз ету,Инженерное обеспечение,Engineering support,Қорғаныс құрылыстарын және өткелдерді дайындау жұмыстары,Работы по подготовке оборонительных сооружений и переправ,Preparation of defensive structures and crossings,Тылдық қамтамасыз ету,Тыловое обеспечение,Logistics support,Инженерлік қорғаныс,Инженерная защита,Engineering defense,Қорғаныс құрылысы,Оборонительное сооружение,Defensive structure,Инженерлік қызмет,Инженерная служба,Engineering service,Инженерлік бөлім,Инженерное подразделение,Engineering unit,,,
47,Инженерлік қорғаныс,Инженерная защита,Engineering defense,Қорғаныс құрылыстары мен бөгеттер жүйесі,Система оборонительных сооружений и преград,System of defensive constructions and obstacles,Инженерлік қамтамасыз ету,Инженерное обеспечение,Engineering support,Инженерлік бөгет,Инженерное заграждение,Engineering barrier,Қорғаныс жүйесі,Система обороны,Defense system,Қорғаныс құрылысы,Оборонительное сооружение,Defensive structure,Инженерлік жұмыстар,Инженерные работы,Engineering works,Инженерлік қызмет,Инженерная служба,Engineering service
48,Инженерлік бөгет,Инженерное заграждение,Engineering barrier,Жау қозғалысын шектеуге арналған құрылым,Сооружение для ограничения передвижения противника,Structure intended to hinder enemy movement,Инженерлік қорғаныс,Инженерная защита,Engineering defense,Мина өрісі,Минное поле,Minefield,Қорғаныс жүйесі,Система обороны,Defense system,Бөгет,Заграждение,Obstacle,Инженерлік тосқауыл,Инженерная преграда,Engineering obstacle,Қорғаныс құрылысы,Оборонительное сооружение,Defensive structure
50,Мина орнату,Установка мин,Mine placement,Қорғаныс мақсатында миналарды орналастыру процесі,Процесс размещения мин в оборонительных целях,Process of placing mines for defensive purpose,Мина өрісі,Минное поле,Minefield,Мина тазалау,Разминирование,Demining,Инженерлік бөгет,Инженерное заграждение,Engineering barrier,Миналау,Минирование,Mining,Мина жұмысы,Минная работа,Mine work,Миналық операция,Минная операция,Mine operation
51,Инженерлік барлау,Инженерная разведка,Engineering reconnaissance,Жолдар мен кедергілерді анықтау мақсатындағы барлау,Разведка для определения дорог и препятствий,Reconnaissance for identifying roads and obstacles,Барлау,Разведка,Reconnaissance,Миналық барлау,Минная разведка,Mine reconnaissance,Инженерлік бөлім,Инженерное подразделение,Engineering unit,Техникалық барлау,Техническая разведка,Technical reconnaissance,Барлау қызметі,Разведслужба,Recon service,Инженерлік барлау,Инженерная разведка,Engineering reconnaissance
52,Миналық барлау,Минная разведка,Mine reconnaissance,Миналанған аймақтарды анықтау мақсатындағы барлау,Разведка минных полей,Reconnaissance of mined areas,Инженерлік барлау,Инженерная разведка,Engineering reconnaissance,Минаны залалсыздандыру,Разминирование,Demining,Жарылыс,Взрыв,Explosion,Миналарды іздеу,Поиск мин,Mine search,Минаны жою,Уничтожение мин,Mine disposal,Минаны анықтау,Выявление мин,Mine detection
53,Минаны залалсыздандыру,Разминирование,Demining,Миналарды қауіпсіз түрде жою процесі,Процесс безопасного удаления мин,The process of safely removing mines,Инженерлік барлау,Инженерная разведка,Engineering reconnaissance,Миналық аймақты тазалау,Очистка минного поля,Minefield clearing,Миналық қорғаныс,Минная защита,Mine defense,Миналарды жою,Уничтожение мин,Mine destruction,Миналарды тазалау,Очистка мин,Mine clearing,Разминирование аймағы,Зона разминирования,Demining zone
56,Қорғаныс құрылысы,Оборонительное сооружение,Defensive structure,Қорғаныс мақсатындағы инженерлік нысан,Инженерное сооружение оборонительного назначения,Engineering structure for defense purposes,Инженерлік бөлім,Инженерное подразделение,Engineering unit,Бекініс,Укрепление,Fortification,Қалқан,Щит,Shield,Қорғаныс жүйесі,Оборонительная система,Defense system,Қорғаныс нысаны,Оборонительный объект,Defense object,Қорғаныс бекінісі,Фортификационное сооружение,Fortified structure
57,Бекініс,Укрепление,Fortification,Жау шабуылына қарсы тұру үшін салынған құрылыс,Сооружение для защиты от атак врага,Structure built to resist enemy attacks,Қорғаныс құрылысы,Оборонительное сооружение,Defensive structure,Бекініс сызығы,Линия укреплений,Line of fortifications,Қорғаныс жүйесі,Оборонительная система,Defense system,Қорғаныс аймағы,Зона обороны,Defense zone,Қорғаныс бекеті,Оборонительный пост,Defense post,Фортификация,Фортификация,Fortification
59,Миналық кедергі,Минное заграждение,Minefield barrier,Миналармен жабдықталған қорғаныс аймағы,Оборонительная зона с установленными минами,Defense area equipped with mines,Инженерлік кедергі,Инженерное препятствие,Engineering obstacle,Миналық алаң,Минное поле,Minefield,Миналық барлау,Минная разведка,Mine reconnaissance,Кедергілер жүйесі,Система заграждений,Barrier system,Миналарды орналастыру,Установка мин,Mine placement,Миналық қорғаныс,Минная оборона,Mine defense
60,Инженерлік көпір,Инженерный мост,Engineering bridge,Әскер мен техника үшін уақытша көпір,Временный мост для войск и техники,Temporary bridge for troops and vehicles,Инженерлік әскер,Инженерные войска,Engineering troops,Өткел құрылысы,Строительство переправы,Bridge construction,Инженерлік нысан,Инженерный объект,Engineering object,Көпір құрылысы,Мостовое сооружение,Bridge construction,Өтпелі көпір,Переправочный мост,Crossing bridge,Инженерлік өткел,Инженерная переправа,Engineering crossing
61,Инженерлік техника,Инженерная техника,Engineering equipment,Инженерлік жұмыстарға арналған техникалық құралдар,Технические средства для инженерных задач,Technical means for engineering tasks,Инженерлік әскер,Инженерные войска,Engineering troops,Жол техникасы,Дорожная техника,Road equipment,Құрылыс техникасы,Строительная техника,Construction equipment,Инженерлік құрал,Инженерное средство,Engineering device,Инженерлік жабдық,Инженерное оборудование,Engineering machinery,Инженерлік техника,Инженерная техника,Engineering vehicle
62,Жол техникасы,Дорожная техника,Road equipment,Жол салуға және жөндеуге арналған техника,Техника для строительства и ремонта дорог,Equipment for building and repairing roads,Инженерлік техника,Инженерная техника,Engineering equipment,Құрылыс техникасы,Строительная техника,Construction machinery,Жүк көлігі,Грузовик,Truck,Жол жабдығы,Дорожное оборудование,Road device,Жол машиналары,Дорожные машины,Road machines,Жол техникасы,Техника дорог,Road vehicles
64,Кран,Кран,Crane,Жүк көтеруге арналған техника,Техника для подъема грузов,Equipment used for lifting loads,Құрылыс техникасы,Строительная техника,Construction machinery,Мобильді кран,Мобильный кран,Mobile crane,Бульдозер,Bulldozer,Bulldozer,Жүк көтергіш,Погрузчик,Loader,Құрылыс жабдығы,Строительное оборудование,Construction equipment,Көтергіш техника,Подъемная техника,Lifting equipment
65,Бульдозер,Бульдозер,Bulldozer,Жер жұмыстарын орындауға арналған техника,Техника для земляных работ,Equipment for earthworks,Құрылыс техникасы,Строительная техника,Construction machinery,Жер қазу техникасы,Землеройная техника,Excavation equipment,Кран,Кран,Crane,Құрылыс техникасы,Строительное оборудование,Construction machinery,Жол техникасы,Дорожная техника,Road machinery,Бульдозер,Землеройная машина,Earthmover
66,Жер қазу техникасы,Землеройная техника,Excavation equipment,Жер қабатын қазуға арналған техника,Техника для выемки грунта,Equipment for digging soil layers,Құрылыс техникасы,Строительная техника,Construction machinery,Экскаватор,Экскаватор,Excavator,Бульдозер,Бульдозер,Bulldozer,Құрылыс техникасы,Строительная техника,Construction machinery,Жер өңдеу құралы,Землеройное средство,Excavation tool,Жер жұмысы техникасы,Техника земляных работ,Earthwork machinery
67,Экскаватор,Экскаватор,Excavator,Жер жұмыстарын жүргізуге арналған техника,Машина для выполнения земляных работ,Machine for earthmoving,Жер қазу техникасы,Землеройная техника,Excavation equipment,Қазушы техника,Добывающая техника,Digging machinery,Бульдозер,Бульдозер,Bulldozer,Құрылыс техникасы,Строительная техника,Construction machinery,Жер машинасы,Землеройная машина,Earthmoving machine,Экскаватор техникасы,Техника экскаваторов,Excavator machinery
68,Инженерлік құрал,Инженерное средство,Engineering device,Инженерлік тапсырмаларды орындауға арналған құрал,Средство для выполнения инженерных задач,Device for carrying out engineering tasks,Инженерлік техника,Инженерная техника,Engineering equipment,Өлшеу құралы,Измерительный инструмент,Measuring instrument,Техника,Техника,Equipment,Құрылғы,Устройство,Apparatus,Инженерлік жабдық,Инженерное оборудование,Engineering equipment,Инженерлік аспап,Инженерный инструмент,Engineering tool
69,Өлшеу құралы,Измерительный инструмент,Measuring instrument,Инженерлік өлшемдерді анықтау құралы,Прибор для измерения инженерных параметров,Instrument for measuring engineering parameters,Инженерлік құрал,Инженерное средство,Engineering device,Өлшеу аспабы,Измерительное устройство,Measuring device,Құрылғы,Устройство,Device,Өлшеу жүйесі,Измерительная система,Measurement system,Өлшеу жабдығы,Измерительное оборудование,Measuring equipment,Өлшеу аспаптары,Измерительные инструменты,Measuring tools
70,Инженерлік байланыс,Инженерная связь,Engineering communication,Инженерлік бөлімдер арасындағы байланыс жүйесі,Система связи между инженерными подразделениями,Communication system between engineering units,Байланыс,Связь,Communication,Техникалық байланыс,Техническая связь,Technical communication,Инженерлік қызмет,Инженерная служба,Engineering service,Байланыс жүйесі,Система связи,Communication network,Инженерлік ақпарат,Инженерная информация,Engineering communication,Инженерлік байланыс жүйесі,Инженерная сеть,Engineering network
71,Техникалық байланыс,Техническая связь,Technical communication,Техникалық құралдар арқылы жүзеге асырылатын байланыс,Связь с использованием технических средств,Communication via technical means,Инженерлік байланыс,Инженерная связь,Engineering communication,Байланыс желісі,Линия связи,Communication line,Ақпарат алмасу,Обмен информацией,Information exchange,Байланыс арнасы,Канал связи,Communication channel,Байланыс техникасы,Техника связи,Communication technology,Техникалық байланыс,Техническая коммуникация,Technical communication
72,Байланыс жүйесі,Система связи,Communication system,Ақпарат алмасуға арналған техникалық және бағдарламалық жүйе,Техническая и программная система обмена информацией,Technical and software system for information exchange,Байланыс,Связь,Communication,Байланыс арнасы,Канал связи,Communication channel,Техникалық байланыс,Техническая связь,Technical communication,Желі жүйесі,Система сетей,Network system,Байланыс инфрақұрылымы,Инфраструктура связи,Communication infrastructure,Байланыс торабы,Связевой узел,Communication hub
73,Байланыс арнасы,Канал связи,Communication channel,Мәліметтер мен сигналдарды тасымалдау жолы,Путь передачи данных и сигналов,Path for transmitting data and signals,Байланыс жүйесі,Система связи,Communication system,Желілік арна,Сетевой канал,Network channel,Ақпарат алмасу,Обмен информацией,Information exchange,Байланыс торабы,Связевой узел,Communication node,Байланыс көзі,Источник связи,Communication source,Байланыс желісі,Связная линия,Communication line
74,Желілік арна,Сетевой канал,Network channel,Желілер арасындағы деректер байланыс жолы,Путь связи между сетями,Data connection between networks,Байланыс арнасы,Канал связи,Communication channel,Интернет арнасы,Интернет-канал,Internet channel,Байланыс жүйесі,Система связи,Communication system,Ақпараттық арна,Информационный канал,Information channel,Желілік байланыс,Сетевая связь,Network communication,Желі арнасы,Канал сети,Network link
75,Интернет арнасы,Интернет-канал,Internet channel,Интернет арқылы ақпарат алмасу арнасы,Канал для обмена информацией через интернет,Channel for exchanging information via the Internet,Желілік арна,Сетевой канал,Network channel,Онлайн байланыс,Онлайн связь,Online connection,Ақпараттық арна,Информационный канал,Information channel,Сандық арна,Цифровой канал,Digital channel,Интернет байланысы,Интернет-связь,Internet connection,Интернет жүйесі,Интернет-система,Internet system
76,Химиялық шабуыл,Химическая атака,Chemical attack,Улы заттарды қолдану арқылы жасалатын соғыс іс-қимылы,Боевые действия с применением ядовитых веществ,Use of toxic agents in warfare,Жаппай қырып-жою қаруы,Оружие массового поражения,Weapons of mass destruction,Қорғаныс костюмі,Защитный костюм,Protective suit,Биологиялық шабуыл,Биологическая атака,Biological attack,Токсиндер,Токсины,Toxins,CBRN,CBRN,CBRN,Химиялық шабуыл кезінде қорғану,Protection during chemical attack,
77,Биологиялық шабуыл,Биологическая атака,Biological attack,Микроорганизмдерді қолдану арқылы соғыс іс-қимылы,Применение микроорганизмов в военных действиях,Use of microorganisms in warfare,Жаппай қырып-жою қаруы,Оружие массового поражения,Weapons of mass destruction,Қорғаныс костюмі,Защитный костюм,Protective suit,Химиялық шабуыл,Химическая атака,Chemical attack,Вирустар,Вирусы,Viruses,Биоқорғаныс,Biodefense,Biodefense,Биологиялық қарудан қорғаныс,Biological weapon protection,
78,Кибершабуыл,Кибератака,Cyberattack,Компьютерлік жүйелерге зиян келтіру мақсатындағы шабуыл,Атака с целью повредить компьютерные системы,Attack targeting computer systems,Киберқауіпсіздік,Кибербезопасность,Cybersecurity,Фишинг,Фишинг,Phishing,Хакер,Хакер,Hacker,Кибершабуыл жасау,Cyber offense,Cyber offense,Кибершабуылға қарсы тұру,Cyber defense,Cyber defense,Ақпараттық соғыс,Information warfare,
